"study_id","assay","dose_description","schedule","vaccine","serotype","value","lower_limit","upper_limit","phase","sponsor","location","n_reads"
"NCT00366340","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","14",4.14,3.68,4.66,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV7","14",4.61,4.07,5.23,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","14",2.84,2.35,3.43,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV7","14",2.39,1.98,2.9,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","14",9.76,8.34,11.43,"Phase 3","Pfizer","Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV7","14",11.59,9.79,13.71,"Phase 3","Pfizer","Asia,Asia",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","14",14.83,12.38,17.77,"Phase 2","Pfizer",",,,,,",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV7","14",16.29,13.36,19.85,"Phase 2","Pfizer",",,,,,",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","18C",1.53,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV7","18C",2.46,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","18C",1.94,1.76,2.14,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV7","18C",2.25,2.04,2.49,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","18C",1.61,1.42,1.82,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
